,stationCode,station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,mechanical,ebike
448,22101,213868408,2,2,"[{'mechanical': 2}, {'ebike': 0}]",28,28,1,1,1,1669293593,2,0
449,13016,129061615,33,33,"[{'mechanical': 20}, {'ebike': 13}]",0,0,1,1,1,1669293667,20,13
450,11020,43165673,2,2,"[{'mechanical': 2}, {'ebike': 0}]",32,32,1,1,1,1669293736,2,0
451,8051,82381710,1,1,"[{'mechanical': 0}, {'ebike': 1}]",12,12,1,1,1,1669293285,0,1
452,13043,224598098,0,0,"[{'mechanical': 0}, {'ebike': 0}]",51,51,1,1,1,1669293742,0,0
453,14122,10968855,0,0,"[{'mechanical': 0}, {'ebike': 0}]",19,19,1,1,1,1669293490,0,0
454,44102,82508970,6,6,"[{'mechanical': 2}, {'ebike': 4}]",19,19,1,1,1,1669293551,2,4
455,9115,653055097,2,2,"[{'mechanical': 0}, {'ebike': 2}]",20,20,1,1,1,1669293591,0,2
456,16123,221038698,19,19,"[{'mechanical': 13}, {'ebike': 6}]",3,3,1,1,1,1669293741,13,6
457,19039,27246227,0,0,"[{'mechanical': 0}, {'ebike': 0}]",22,22,1,1,1,1669293702,0,0
458,16032,63297,2,2,"[{'mechanical': 0}, {'ebike': 2}]",17,17,1,1,1,1669293484,0,2
459,21003,95927849,10,10,"[{'mechanical': 8}, {'ebike': 2}]",14,14,1,1,1,1669293729,8,2
460,22001,102341385,17,17,"[{'mechanical': 9}, {'ebike': 8}]",6,6,1,1,1,1669293631,9,8
461,18025,54000605,3,3,"[{'mechanical': 0}, {'ebike': 3}]",33,33,1,1,1,1669293621,0,3
462,17122,979059925,0,0,"[{'mechanical': 0}, {'ebike': 0}]",28,28,1,1,1,1669293681,0,0
463,20027,6512,2,2,"[{'mechanical': 1}, {'ebike': 1}]",13,13,1,1,1,1669293368,1,1
464,9023,27363323,33,33,"[{'mechanical': 22}, {'ebike': 11}]",0,0,1,1,1,1669293650,22,11
